"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search","Article"
"40","dec 10_3",1,7,51,3.2,0,2,"No",1,1527,3,1,"R_3O1843gpz8FE4JJ",0,"Conservative","Neutral",0,1,0,"3"
"41","dec 10_3",1,6,38,3.5,1,2,"No",4,747,-2,1,"R_1M6vSQYVZzIvSlp",0,"Liberal","Neutral",0,1,0,"3"
"42","dec 10_3",1,6,30,4.4,0,0,"No",3,1670,1,1,"R_12sblQmds2LJk2L",0,"Conservative","Neutral",0,1,0,"3"
"43","dec 10_3",0,4,32,3.3,1,0,"Not Sure",4,755,2,1,"R_3fqRNgRHK4lk4Dq",0,"Conservative","Neutral",0,0,0,"3"
"44","dec 10_3",1,6,63,3.5,2,2,"No",3,2740,3,1,"R_T5d6J1fSKg5toK5",0,"Conservative","Neutral",0,1,0,"3"
"45","dec 10_3",1,6,39,3.2,0,3,"Not Sure",1,784,0,1,"R_2TNoCVkMu9hpjcF",0,"Moderate","Neutral",0,1,0,"3"
"46","dec 10_3",1,6,37,3.1,1,3,"No",1,1680,-3,1,"R_1lttRm9Hg0IEi9s",0,"Liberal","Neutral",0,1,0,"3"
"47","dec 10_3",1,5,48,4.1,1,0,"No",1,856,-2,0,"R_1diUDicMB6Aqjff",0,"Liberal","Neutral",0,1,0,"3"
"48","dec 10_3",1,5,22,3.1,3,4,"No",2,1202,-1,0,"R_32QLlD5z4DHBQjg",0,"Liberal","Neutral",0,1,0,"3"
"49","dec 10_3",0,4,59,2.9,1,3,"No",2,1751,0,0,"R_3GDRTcUkFjqfDEJ",0,"Moderate","Neutral",0,0,0,"3"
"50","dec 10_3",1,5,32,5,0,2,"No",1,1308,-2,0,"R_3GAQGUDXbFU8SpX",0,"Liberal","Neutral",0,1,0,"3"
"51","dec 10_3",0,5,40,3.7,0,1,"Yes",3,1597,-3,1,"R_2To3fZ4PO7SwNsz",1,"Liberal","Neutral",0,0,1,"3"
"52","dec 10_3",1,7,46,4.1,1,2,"No",3,1059,-2,0,"R_3PYKiR7HzpOl5MB",1,"Liberal","Neutral",0,1,1,"3"
"53","dec 10_3",0,4,32,4,0,4,"No",2,1201,NA,0,"R_12imr1hl5EbaY32",1,NA,"Neutral",NA,0,1,"3"
"54","dec 10_3",1,7,29,5,1,1,"No",3,1408,0,0,"R_3elcd4I87VjnSZu",1,"Moderate","Neutral",0,1,1,"3"
"55","dec 10_3",1,7,38,4,2,1,"Yes",5,802,3,1,"R_2q9R6u8K2BXRY7x",0,"Conservative","Neutral",0,1,0,"3"
"56","dec 10_3",1,7,37,3.7,1,0,"No",5,1584,-2,0,"R_3m1OpUNaNxAR8Sy",0,"Liberal","Neutral",0,1,0,"3"
"57","dec 10_3",1,4,18,3.8,3,2,"No",1,611,NA,0,"R_5goOUYk8k21FxL3",0,NA,"Neutral",NA,1,0,"3"
"58","dec 10_3",1,7,18,3.8,1,4,"No",1,849,-1,0,"R_29nyMVMppo9GnQh",0,"Liberal","Neutral",0,1,0,"3"
"59","dec 10_3",1,6,21,4.6,1,1,"No",1,1370,0,0,"R_2fdtrr8u8YLdRdk",0,"Moderate","Neutral",0,1,0,"3"
"60","dec 10_3",0,5,21,3.6,1,0,"No",2,1537,-1,0,"R_2WHIAZDIbmIjv12",0,"Liberal","Neutral",0,0,0,"3"
"61","dec 10_4",1,6,56,3.7,1,0,"Yes",4,1480,-2,1,"R_Wj2XeK2APszYX85",1,"Liberal","Conservative",0,1,1,"4"
"62","dec 10_4",0,4,28,4,1,2,"No",3,981,0,1,"R_2EayA9VWdiHqxFn",1,"Moderate","Conservative",0,0,1,"4"
"63","dec 10_4",1,7,30,4,1,1,"Yes",1,787,0,1,"R_9ZBFcuGCOpbC6TD",1,"Moderate","Conservative",0,1,1,"4"
"64","dec 10_4",0,2,36,2.2,0,2,"No",3,994,0,1,"R_31pAR05lpJsWwEw",1,"Moderate","Conservative",0,0,1,"4"
"65","dec 10_4",1,7,61,3.4,2,3,"Yes",5,1428,-2,1,"R_1Q5fcSrMawLoKqo",1,"Liberal","Conservative",0,1,1,"4"
"66","dec 10_4",1,6,40,3.4,2,2,"Yes",4,698,2,0,"R_2Y2HAaXbRRtcHN4",1,"Conservative","Conservative",1,1,1,"4"
"67","dec 10_4",0,4,57,3.4,1,0,"Yes",1,747,-2,1,"R_SK7ItPw5vurUV8J",1,"Liberal","Conservative",0,0,1,"4"
"68","dec 10_4",0,4,64,4.2,1,2,"Yes",3,1055,-1,1,"R_ZeLSDNYiLeZkjVD",1,"Liberal","Conservative",0,0,1,"4"
"69","dec 10_4",0,2,40,4.5,0,3,"No",1,2720,0,1,"R_2BsacR3kQXdPWh6",1,"Moderate","Conservative",0,0,1,"4"
"70","dec 10_4",1,6,39,4.3,1,2,"No",4,3398,0,1,"R_3CrPWMMp1q4gYhz",1,"Moderate","Conservative",0,1,1,"4"
"71","dec 10_4",0,5,47,3.1,2,3,"Not Sure",3,967,0,0,"R_1lnwZmJTICXyDTP",1,"Moderate","Conservative",0,0,1,"4"
