"","T_Dummy","Ordinal_4","Ordinal_7","Treatment_1","Treatment_2","Treatment_3","Age","Ideo_Congruence","Education_Score","Q_Gender","Income_Score","Article_day","ResponseId","Article_Num","Final_FC"
"57",0,3,4,0,1,0,51,0,1,1,0,"Day1_3","R_3L5b699Eno2DBXx","3","FM"
"58",1,4,7,0,1,0,25,0,4,0,3,"Day1_3","R_Y3mSVs8z0Peshtn","3","FM"
"59",0,2,3,0,1,0,47,0,3,0,2,"Day1_3","R_10GjHC4LxQaymnL","3","FM"
"60",0,2,3,1,0,0,29,0,4,0,1,"Day1_3","R_1eUDEORcXconZvo","3","FM"
"61",0,1,2,0,0,0,78,0,3,1,1,"Day1_3","R_3QPoHcuBJpMcJM2","3","FM"
"62",1,3,6,1,0,0,30,0,3,1,0,"Day1_3","R_3FUTRFXhZu6guQi","3","FM"
"63",0,3,5,0,0,0,27,0,3,0,1,"Day1_3","R_33xQsJ1or0ifqV9","3","FM"
"64",0,1,1,0,0,1,75,0,2,0,0,"Day1_3","R_1QoSVdx6dFJvvYm","3","FM"
"65",0,1,1,0,1,0,34,0,2,1,0,"Day1_3","R_qUz3f78bHpovVAZ","3","FM"
"66",1,3,3,0,0,1,59,0,1,0,0,"Day1_3","R_4OQ1t3w5C9gsld7","3","FM"
"67",1,4,7,0,0,1,35,0,4,1,2,"Day1_3","R_ZknyNqlKASTPIbf","3","FM"
"68",0,1,1,0,0,1,62,0,3,0,1,"Day1_3","R_zVg0pZYvbG7Cok9","3","FM"
"69",0,1,1,0,1,0,62,0,1,0,0,"Day1_3","R_1JLXj9boEzK5Cd4","3","FM"
"70",0,1,1,0,1,0,76,0,1,0,0,"Day1_3","R_2EbqskmJds8YDFb","3","FM"
"71",1,3,4,0,0,1,47,0,3,0,0,"Day1_3","R_3Pvg9uTJJgDzTGI","3","FM"
"72",1,3,7,1,0,0,59,0,2,1,0,"Day1_3","R_2dhmffss21673Ap","3","FM"
"73",1,3,6,0,1,0,42,0,1,0,0,"Day1_3","R_1KebABSNqQZnbe3","3","FM"
"74",1,3,6,0,1,0,73,0,1,1,0,"Day1_3","R_2dsf7AvOLDIYBrb","3","FM"
"75",0,1,1,1,0,0,74,0,4,0,0,"Day1_3","R_337qSmgypDFhrPm","3","FM"
"76",0,2,2,1,0,0,80,0,3,1,1,"Day1_3","R_2YQH5UQHm17Bpu0","3","FM"
"77",1,4,7,0,0,1,65,0,2,1,0,"Day1_3","R_cIl1qjrVrAdkUI9","3","FM"
"78",0,2,3,0,0,0,66,0,2,0,0,"Day1_3","R_2wGgI8eaHcO4bWT","3","FM"
"79",0,2,2,0,1,0,43,0,1,0,0,"Day1_3","R_2uKByCXluioMVDd","3","FM"
"80",1,4,6,0,0,1,33,0,4,1,3,"Day1_3","R_29493cXE7KYolPG","3","FM"
"81",0,1,1,0,0,1,66,0,2,0,0,"Day1_3","R_3HOJ2zwGXdNUAjS","3","FM"
"82",0,1,1,0,1,0,48,0,3,0,1,"Day1_3","R_12DaqSZOSZamaTY","3","FM"
"83",0,2,4,0,1,0,75,0,3,1,1,"Day1_3","R_5chLzbWKFZbhtOF","3","FM"
"84",0,3,5,1,0,0,47,0,3,0,1,"Day1_3","R_31iRVw8QrTkiW9h","3","FM"
"85",1,4,7,0,0,0,44,0,1,0,1,"Day1_3","R_vTQYCF5qpqutrO1","3","FM"
"86",0,2,6,0,0,0,42,0,0,1,0,"Day1_3","R_2A07x3EvZewZN2d","3","FM"
"87",0,2,3,0,0,0,26,0,1,1,0,"Day1_3","R_2ydXo0Exi4yCmFH","3","FM"
"88",0,1,1,0,1,0,74,0,3,1,1,"Day1_3","R_O0wQdlqD7WTKzVD","3","FM"
"89",0,1,1,0,1,0,73,0,2,1,0,"Day1_3","R_21cEMD42nomYqEd","3","FM"
"90",0,1,1,0,0,0,71,0,4,0,0,"Day1_3","R_2P0YQKvsBw0nMwY","3","FM"
"91",0,1,1,0,0,1,75,0,3,1,0,"Day1_3","R_11bDy7VZyaFf6tR","3","FM"
"92",0,1,1,0,0,1,71,0,2,1,0,"Day1_3","R_vpg2hSvc6dQrNHb","3","FM"
"93",1,4,7,0,0,1,69,0,3,0,1,"Day1_3","R_2zwExcep5tUMqHE","3","FM"
"94",0,1,1,0,0,0,80,0,2,1,0,"Day1_3","R_2UgbcITiIZyy1l4","3","FM"
"95",0,1,1,0,1,0,26,0,3,0,0,"Day1_3","R_2YijTzKmoPXS0LF","3","FM"
"96",0,2,4,1,0,0,61,0,3,1,0,"Day1_3","R_1NhwFysQSrpRwRf","3","FM"
"97",0,1,1,0,1,0,76,0,2,1,1,"Day1_3","R_un0PnELMtBNhBw5","3","FM"
"98",0,1,1,0,0,0,40,0,3,0,1,"Day1_3","R_1ONopdDQdvHpfbT","3","FM"
"99",0,2,3,1,0,0,74,0,2,0,0,"Day1_3","R_2E6nY4CIonIlDRm","3","FM"
"100",0,1,1,0,0,0,50,0,1,1,1,"Day1_3","R_31HNQLyKfUPpDQp","3","FM"
"101",0,2,3,1,0,0,53,0,1,0,0,"Day1_3","R_3ltu52MWtnKIj4w","3","FM"
"102",1,3,5,0,1,0,62,0,3,0,1,"Day1_3","R_NUzTe4UyzKKhlwl","3","FM"
"103",1,4,7,1,0,0,33,0,2,0,1,"Day1_3","R_2fJccIHzUJOvwiS","3","FM"
"104",1,3,6,0,1,0,34,0,1,0,0,"Day1_3","R_2wU1pNapXYQrK9S","3","FM"
"105",0,2,7,0,0,0,25,0,1,0,1,"Day1_3","R_783rgwNmXqbpsDT","3","FM"
"106",0,1,1,0,1,0,67,0,3,0,1,"Day1_3","R_1BS3KEDNzuFGkVj","3","FM"
"107",0,1,1,1,0,0,42,0,2,0,1,"Day1_3","R_3g0YOPzHmuVWdIC","3","FM"
"108",0,2,5,0,1,0,42,0,2,0,0,"Day1_3","R_23fZ9i1qUx6MGJe","3","FM"
"109",0,1,1,0,1,0,66,0,3,0,1,"Day1_3","R_30k4NnGdO5KSZu0","3","FM"
"110",0,1,1,1,0,0,72,0,1,0,0,"Day1_3","R_3s4g6KPZgr38kMP","3","FM"
"111",0,1,1,1,0,0,30,0,1,0,0,"Day1_3","R_eqyAEmylbqX7i37","3","FM"
"112",0,2,1,0,0,0,50,0,2,0,0,"Day1_3","R_1k1u4R7TVg8AaQ9","3","FM"
"113",0,1,1,1,0,0,67,0,3,0,3,"Day1_3","R_1Lqg76yaJ00oqzr","3","FM"
"114",1,3,7,0,1,0,70,0,2,0,0,"Day1_3","R_AvafYqTLKiu0HpD","3","FM"
"115",0,1,1,0,0,0,63,0,3,0,2,"Day1_3","R_1LOR0IiBxXYKpry","3","FM"
"116",1,3,6,0,0,0,51,0,1,0,0,"Day1_3","R_2UYR7vnuwBsXZAL","3","FM"
"117",0,1,1,0,0,0,69,0,2,0,1,"Day1_3","R_uwsJIBDKWHJfdjX","3","FM"
"118",0,1,1,0,0,0,65,0,1,0,0,"Day1_3","R_1eraXMf1BXAoLL4","3","FM"
"119",1,3,4,1,0,0,49,0,1,0,1,"Day1_3","R_2xVSoudmhNEDV40","3","FM"
"120",0,2,3,0,0,1,51,0,1,1,0,"Day1_3","R_XLCawMVQpWckpB7","3","FM"
"121",0,2,4,0,1,0,49,0,3,0,1,"Day1_3","R_rlth79hOSqyjzWx","3","FM"
"122",0,3,5,0,1,0,38,0,1,0,0,"Day1_3","R_tDmGI0QWg2XuQWB","3","FM"
"123",0,2,4,0,1,0,76,0,2,0,1,"Day1_3","R_3EXZS7nDFYP0uvb","3","FM"
"124",0,2,4,0,0,1,54,0,3,0,0,"Day1_3","R_2w0ITCOcZwyjXRB","3","FM"
"125",0,3,4,0,0,0,65,0,1,0,0,"Day1_3","R_uml0mrir5BhcUo1","3","FM"
"126",0,1,1,0,0,1,77,0,1,1,3,"Day1_3","R_OOsBX48HkLmJCud","3","FM"
"127",0,2,4,1,0,0,77,0,1,1,1,"Day1_3","R_2qwo8JrWnuOiNXh","3","FM"
"128",1,2,5,0,1,0,46,0,3,0,1,"Day1_3","R_1QmapAS73OrtkOw","3","FM"
"129",0,1,1,1,0,0,76,0,3,0,0,"Day1_3","R_3dKQrfLriS2cORh","3","FM"
"130",0,1,1,1,0,0,44,0,3,0,0,"Day1_3","R_1NELe9OgehYEV7w","3","FM"
"131",0,1,1,0,1,0,72,0,1,0,1,"Day1_3","R_3sm0f3wwfQHVUad","3","FM"
"132",0,2,4,0,1,0,43,0,1,0,0,"Day1_3","R_24GICpsXSK6674a","3","FM"
"133",0,3,5,0,0,1,22,0,3,1,1,"Day1_3","R_RXhCnF966y8bbsB","3","FM"
"134",0,1,1,0,1,0,80,0,2,0,0,"Day1_3","R_2dAzEAgYQgRRWth","3","FM"
"135",1,4,6,1,0,0,66,0,4,0,3,"Day1_3","R_VKMnZjjNc4E7IeB","3","FM"
"136",1,4,7,0,0,0,40,0,3,0,1,"Day1_3","R_1PXz6pnWdl4g9TY","3","FM"
"137",0,1,1,0,0,1,87,0,3,0,0,"Day1_3","R_3IYPGa7e7LWkOMJ","3","FM"
"138",0,1,2,0,1,0,55,0,1,1,0,"Day1_3","R_BEdSwrw77eYNO01","3","FM"
"139",0,2,2,0,0,0,49,0,3,1,1,"Day1_3","R_1KkeE7XJL0TI6tE","3","FM"
"140",0,1,3,0,1,0,46,0,1,1,1,"Day1_3","R_3FVbqFT3GTgEkVR","3","FM"
"141",0,2,3,1,0,0,77,0,2,0,1,"Day1_3","R_1j80puUOhJOOi2m","3","FM"
"142",0,2,3,0,0,0,35,0,4,0,1,"Day1_3","R_3soXYLD5o4hHD1K","3","FM"
"143",0,2,5,0,1,0,46,0,4,0,1,"Day1_3","R_2xDwCNcU88rrPmP","3","FM"
"144",0,1,1,0,0,0,73,0,1,1,1,"Day1_3","R_2TI4pIn6aMhO3Yz","3","FM"
"145",0,1,1,1,0,0,27,0,2,0,1,"Day1_3","R_2QJnGfsHbqlvDyk","3","FM"
"146",0,1,2,0,0,0,76,0,1,1,1,"Day1_3","R_129cSlugH7nzuDy","3","FM"
"147",1,3,6,0,0,0,40,0,4,0,3,"Day1_3","R_2ZVanzKrYfwAQya","3","FM"
"148",0,2,5,0,0,0,79,0,1,0,1,"Day1_3","R_Okg8SP7xNBW52Vj","3","FM"
"149",0,2,4,0,0,0,87,0,1,1,0,"Day1_3","R_2DYbRLPWVkqNVbf","3","FM"
"150",0,2,7,0,1,0,36,0,1,0,2,"Day1_3","R_ZwcYeaq3jNoWytz","3","FM"
"151",0,1,1,0,0,1,34,0,3,1,3,"Day1_3","R_tJwDrPbiJO4nHKF","3","FM"
"152",0,2,4,0,0,0,38,0,0,1,0,"Day1_3","R_2zdMLyBOM4Yyt17","3","FM"
"153",0,1,1,0,0,1,59,0,3,0,1,"Day1_3","R_xmaGPG3DKUKdl73","3","FM"
"154",1,4,6,0,0,1,48,0,4,1,3,"Day1_3","R_1q9PRrWsKMJd47m","3","FM"
"155",1,3,5,0,1,0,47,0,1,0,0,"Day1_3","R_2uX0gQJQZA4BHBA","3","FM"
"156",0,3,5,0,0,1,81,0,1,0,0,"Day1_3","R_3KwNglHX1J5FtgH","3","FM"
"157",0,2,3,0,0,1,78,0,2,0,0,"Day1_3","R_23gDm8APftudlS6","3","FM"
"158",0,3,6,0,0,1,78,0,1,0,0,"Day1_3","R_33BToUKUkVres8T","3","FM"
"159",0,1,1,1,0,0,35,0,3,0,1,"Day1_3","R_24kl5UHZk6vQuOA","3","FM"
"160",0,3,4,1,0,0,55,0,3,0,1,"Day1_3","R_2Toq6PdGHYLb8wo","3","FM"
"161",0,3,5,0,0,1,49,0,1,0,0,"Day1_3","R_1dKBSu0pOnufEje","3","FM"
