"","X1","Susc_FN","Evaluation","Likert_Evaluation","Education_Score","Age","Gender","Income_Score","Dummy_Congruence","Familiar_Dummy","Duration","Dig_Lit_Avg","Article_day","ResponseId","Ideology_Score","Treat_Search","True_Dummy","Article"
"44","44","1","True",6,4,36,0,3,0,"0","60","3.7","Jun 1_5","R_3DuXmm1vPZobLX2","1",1,1,"5"
"45","45","0","CND",3,1,77,0,1,0,"0","21.7833333333333","2.6","Jun 10_2","R_2viuacfLrdSNJ72","2",1,0,"2"
"46","46","1","True",7,2,37,0,0,0,"0","28.4166666666667","4.1","Jun 10_2","R_z8VPRu0JloE6JYB","-2",1,1,"2"
"47","47","1","True",6,3,37,0,1,0,"1","14.4","3.7","Jun 10_2","R_plMqsGQMC145z1L","-2",1,1,"2"
"48","48","0","Misl/False",6,1,25,0,1,0,"1","6.13333333333333","4.3","Jun 10_2","R_2xFuYDXw0azYfg7","1",1,0,"2"
"49","49","0","CND",6,4,42,0,3,0,"1","21.4666666666667","4.3","Jun 10_2","R_1hNdel20VpPX1VP","-2",1,0,"2"
"50","50","1","True",7,1,57,1,0,0,"1","21.9166666666667","1.4","Jun 10_2","R_3edU55NsRcvCrZm","1",1,1,"2"
"51","51","1","True",6,4,34,0,2,0,"0","24.6333333333333","4.9","Jun 10_2","R_3DjA3rA0XDCVcKk","0",1,1,"2"
"52","52","1","True",7,2,55,0,0,0,"0","25.1","3.1","Jun 10_2","R_1dLxR8V8bTGUIDE","2",1,1,"2"
"53","53","1","True",7,5,68,0,3,0,"1","60","4.6","Jun 10_2","R_2QFih8ZiSJDISPG","-3",1,1,"2"
"54","54","1","True",7,3,33,1,2,0,"0","27.3166666666667","2.9","Jun 10_2","R_9mfHBCY9HUEH2sV","0",1,1,"2"
"55","55","1","True",7,4,40,0,3,0,"1","13.0166666666667","5","Jun 10_2","R_1rjoHfMNYaOGgGX","0",1,1,"2"
"56","56","1","True",7,3,38,0,1,0,"1","30.4666666666667","5","Jun 10_2","R_3nHkJhdkpguofnC","-1",1,1,"2"
"57","57","1","True",7,3,28,0,0,0,"0","10.4666666666667","4.2","Jun 10_2","R_27xwmeWgGyOc5cm","-3",1,1,"2"
"58","58","1","True",7,1,60,0,0,0,"0","17.5","3.9","Jun 10_2","R_Zrg63inLPV3kfPH","-3",1,1,"2"
"59","59","1","True",6,1,21,1,0,0,"0","18.9833333333333","3.6","Jun 10_2","R_3EsAFHshpJn5vur","-2",1,1,"2"
"60","60","1","True",4,3,30,1,0,0,"0","19.4166666666667","1.1","Jun 10_2","R_b7q5I3MfmmHXMaJ","0",1,1,"2"
"61","61","1","True",7,2,32,1,1,0,"1","20.15","4.3","Jun 10_2","R_1QrQng84v6FH7I5","1",1,1,"2"
"62","62","1","True",6,3,29,1,0,0,"1","25.3166666666667","4.9","Jun 10_2","R_2w06WCwE2o7VUll","1",1,1,"2"
"63","63","0","CND",4,4,38,1,1,NA,"0","27.1833333333333","3.6","Jun 10_2","R_2YPxm3tZ6hq1CSE",NA,1,0,"2"
"64","64","1","True",7,1,43,1,1,0,"1","10.9333333333333","3.6","Jun 10_2","R_22K80MlGPNj0H7S","0",1,1,"2"
"65","65","1","True",6,1,18,1,1,0,"0","16.9833333333333","4","Jun 10_2","R_3G1EAml2vvAcBTp","0",1,1,"2"
"66","66","0","CND",4,1,36,1,0,0,"0","16.3","5","Jun 10_2","R_33BSYAaVVCbUtxQ","3",1,0,"2"
"67","67","0","CND",5,1,71,0,0,0,"0","18.0166666666667","1.4","Jun 10_4","R_2Sf6L0S3xSwh5ih","3",1,0,"4"
"68","68","1","True",6,5,72,0,3,0,"1","20.7833333333333","2.3","Jun 10_4","R_1NmhwtDo7juaTyP","-2",1,1,"4"
"69","69","1","True",7,1,62,0,0,0,"1","24.5","2.5","Jun 10_4","R_1dH8a36P58F0Nml","0",1,1,"4"
"70","70","1","True",7,1,65,0,0,0,"0","28.7833333333333","2.4","Jun 10_4","R_3FamKHFwlc8Tz9L","0",1,1,"4"
"71","71","1","True",7,2,75,0,1,0,"1","29.1","3","Jun 10_4","R_1QcM0LnC0ZYfU3H","2",1,1,"4"
"72","72","0","CND",4,3,24,1,1,0,"0","6.43333333333333","4","Jun 10_4","R_Ab9UrlMx26x9Mf7","-3",1,0,"4"
"73","73","1","True",6,2,72,0,1,0,"1","19.8","3.4","Jun 10_4","R_eleW9ggLSlHEOsh","-3",1,1,"4"
"74","74","1","True",7,3,64,0,0,0,"1","19.65","4.5","Jun 10_4","R_2fIDI2TRodHvo9S","-1",1,1,"4"
"75","75","0","CND",4,3,47,0,1,0,"1","19.5","3.9","Jun 10_4","R_SN7Z8v7xEXTG0Kd","0",1,0,"4"
"76","76","1","True",4,2,20,1,0,0,"1","10.8166666666667","3.4","Jun 10_4","R_1OmCXpp6mkqjhpn","-2",1,1,"4"
"77","77","0","Misl/False",5,3,35,0,1,0,"0","13.4166666666667","3.4","Jun 10_4","R_6zmWyUV1NQ6UedP","-2",1,0,"4"
"78","78","1","True",5,3,53,0,0,0,"1","16.25","2.4","Jun 10_4","R_UQkp0CBCWaBvKpj","2",1,1,"4"
"79","79","1","True",5,3,34,0,2,0,"0","16.4166666666667","4","Jun 10_4","R_PGwvOMGGYaMG6Vr","-2",1,1,"4"
"80","80","1","True",7,1,50,1,0,0,"1","18.3","4.5","Jun 10_4","R_2pMio7NGm4tG0Qz","0",1,1,"4"
"81","81","1","True",6,1,64,1,1,0,"0","27.6666666666667","3.6","Jun 10_4","R_XQVBtEZuEUz7Ljz","-2",1,1,"4"
"82","82","1","True",7,1,68,0,0,0,"0","32.05","3.9","Jun 10_4","R_3Hq22GDo9Hb9ix8","1",1,1,"4"
"83","83","1","True",7,1,56,0,0,0,"0","19.6","3.2","Jun 10_4","R_3PtpiNI6eHppz9d","3",1,1,"4"
"84","84","1","True",5,2,69,0,0,0,"0","37.5","4","Jun 10_4","R_1d0tlB6vwL2RhHP","0",1,1,"4"
"85","85","0","Misl/False",3,3,62,1,0,0,"1","36.4166666666667","3.3","Jun 10_4","R_TgQNeciVWXQn60N","-1",1,0,"4"
"86","86","0","Misl/False",3,1,45,0,0,0,"1","11.1333333333333","2.6","Jun 10_4","R_1OOwVQGUS8cSxjX","3",1,0,"4"
"87","87","1","True",5,5,41,0,3,0,"0","30.85","3.9","Jun 10_4","R_2Ph7ks32xZNtiAV","-1",1,1,"4"
"88","88","1","True",7,3,34,0,0,0,"0","10.8","5","Jun 10_4","R_1IK0d11qIgw7DRP","3",1,1,"4"
"89","89","1","True",7,3,45,0,1,0,"1","14.4333333333333","5","Jun 10_4","R_3JsLlDbYL217zvE","-3",1,1,"4"
"90","90","1","True",7,4,39,0,2,0,"0","36.9666666666667","4.6","Jun 10_4","R_1M5iY6FaNYq3O0H","3",1,1,"4"
"91","91","1","True",7,3,54,0,1,0,"0","24.7333333333333","2.5","Jun 10_4","R_AI4kQEVUPGJfy0h","3",1,1,"4"
"92","92","1","True",6,4,70,1,1,0,"0","25.7833333333333","3.9","Jun 10_4","R_1hyzr2WX66lNUts","2",1,1,"4"
"93","93","1","True",6,2,57,0,1,0,"0","14.5333333333333","2.9","Jun 10_4","R_AjMws28CFeRr0mB","-3",1,1,"4"
"94","94","0","Misl/False",4,1,69,0,0,0,"0","24.8833333333333","3.5","Jun 10_4","R_1hGrQ6hESdtuqtC","0",1,0,"4"
"95","95","0","Misl/False",3,1,18,1,3,0,"0","10.5666666666667","4","Jun 10_4","R_3dSS6jPrS5QFi6v","-2",1,0,"4"
"96","96","1","True",7,3,64,1,1,0,"1","15.3833333333333","4.7","Jun 10_4","R_3iIOmUJ0j9uVJrA","-2",1,1,"4"
"97","97","1","True",7,1,20,1,1,0,"1","13.05","3.7","Jun 10_4","R_zZtgHRnh4da1rmV","-3",1,1,"4"
"98","98","1","True",6,1,19,1,1,0,"1","14.0333333333333","3.7","Jun 10_4","R_1JJB4apjj05kiqa","0",1,1,"4"
"99","99","0","CND",4,3,39,1,3,0,"0","13.6333333333333","3.5","Jun 10_4","R_3DewUoKSLXZCuPL","0",1,0,"4"
"100","100","1","True",7,3,37,1,1,0,"0","60","3.6","Jun 10_4","R_W0QZ69f6NuQk98Z","-3",1,1,"4"
"101","101","0","CND",5,1,28,1,0,0,"0","15.85","4.3","Jun 10_4","R_2AMDuhDvxEW01lk","3",1,0,"4"
"102","102","0","CND",4,1,32,1,1,0,"1","48.0833333333333","4.8","Jun 10_4","R_3078fDC1Ic2fkUu","3",1,0,"4"
"103","103","1","True",7,3,25,1,2,0,"0","17.5833333333333","3.4","Jun 10_4","R_oXYm3JsdVzjUr0R","1",1,1,"4"
"104","104","1","True",6,1,21,1,0,0,"0","37.8","3.7","Jun 10_4","R_1jivM6qXwCi6MOq","0",1,1,"4"
"105","105","1","True",4,3,32,1,1,0,"0","45","3.9","Jun 10_4","R_PY8FcqoPZNYRied","0",1,1,"4"
