"","ResponseId","Article_day","True_Dummy","Treat_Search","Age","Dummy_Congruence","Education_Score","Gender","Income_Score","Dig_Lit_Avg","Article","X","Search_Online"
"60","R_1Cv8p9lUGpeuoku","nov 21_2",0,0,34,0,1,1,0,"3","2",611,0
"61","R_1CwNSoYjGqc5w68","dec 3_3",1,0,66,0,2,0,0,"3.7","3",829,0
"62","R_1dA0opz4KMu27Vq","nov 21_2",1,0,59,1,4,1,3,"4.8","2",5593,0
"63","R_1dafg35WphZT608","jan 6_3",1,0,78,0,1,1,2,"1.3","3",7596,0
"64","R_1DAxsJiBAZFIVnw","dec 9_2",0,0,51,0,2,0,1,"2.8","2",1234,1
"65","R_1DAxsJiBAZFIVnw","dec 9_3",1,0,51,1,2,0,1,"2.8","3",11378,0
"66","R_1DI44xM4zB6EWW7","dec 9_1",0,0,72,1,4,0,2,"3.5","1",6292,0
"67","R_1DI44xM4zB6EWW7","dec 9_3",1,0,72,1,4,0,2,"3.5","3",11364,0
"68","R_1djhTntiYjk8IfE","dec 10_3",1,0,68,0,4,1,1,"3.5","3",6566,0
"69","R_1dLClN6yekq7L7P","dec 9_3",0,0,32,NA,0,1,0,"1.7","3",6402,0
"70","R_1dLK02LNdAoJkYA","nov 20_2",1,0,62,1,2,0,1,"4.7","2",5397,0
"71","R_1dNzUCVeuZOgyUD","nov 21_2",0,0,39,0,5,0,3,"4.7","2",545,0
"72","R_1DSIwng0h72HsMf","jan 7_3",0,0,64,0,2,0,1,"4","3",12777,0
"73","R_1dsQGOQhjYRcMvE","dec 5_2",1,0,21,1,1,1,0,"4","2",1185,0
"74","R_1dsQGOQhjYRcMvE","dec 5_3",1,0,21,0,1,1,0,"4","3",11329,0
"75","R_1dsrBiyyGcpiUhI","nov 20_2",1,0,66,0,2,0,1,"2.9","2",5479,0
"76","R_1DUR8ufUmdgp6Wf","dec 11_2",0,0,19,1,1,1,1,"4.1","2",6639,0
"77","R_1dvixSLhxUGUd04","dec 11_2",0,0,66,1,1,1,1,"4.1","2",6608,0
"78","R_1dvt7XTidyF1HKJ","dec 5_2",0,0,34,1,3,0,0,"3.7","2",1065,0
"79","R_1DZGWqWmaYSdC5i","dec 9_1",0,0,65,0,4,0,2,"4.6","1",1252,0
"80","R_1DZGWqWmaYSdC5i","dec 9_2",1,0,65,1,4,0,2,"4.6","2",6324,0
"81","R_1DZGWqWmaYSdC5i","dec 9_3",0,0,65,0,4,0,2,"4.6","3",11396,0
"82","R_1DzNqt45AI4LaiV","dec 5_1",0,0,60,1,2,0,1,"3.1","1",6131,0
"83","R_1DzNqt45AI4LaiV","dec 5_2",0,0,60,0,2,0,1,"3.1","2",11203,0
"84","R_1dzsTN7FBXo9oi4","jan 7_2",0,0,45,0,1,0,0,"2.9","2",2669,0
"85","R_1dzsTN7FBXo9oi4","jan 7_3",1,0,45,1,1,0,0,"2.9","3",12813,0
"86","R_1dzTlCFU0Szpmbd","dec 9_3",1,0,50,1,3,0,3,"2.7","3",1241,0
"87","R_1dzyp1qusB2eBvp","jan 7_2",0,0,39,1,1,0,1,"4.6","2",12825,0
"88","R_1E1hy2W8NflKxYN","dec 3_3",0,0,80,0,3,0,3,"4.9","3",10965,0
"89","R_1E7rQK88KQlnxod","nov 20_2",0,0,64,0,3,0,3,"2.9","2",5407,0
"90","R_1EdqaYyWzW1TCuA","dec 5_1",1,0,50,0,2,0,0,"3.5","1",6139,0
"91","R_1EdqaYyWzW1TCuA","dec 5_3",1,0,50,0,2,0,0,"3.5","3",1067,0
"92","R_1eEHvLxOhkzl2Jd","dec 3_3",0,0,43,0,1,1,0,"3.9","3",11024,0
"93","R_1eFeRXsDCwONsLj","dec 10_3",1,0,26,0,1,1,0,"4","3",11492,0
"94","R_1EhVvcWmcTowGIS","jan 6_2",0,0,43,0,3,0,1,"2.3","2",7551,0
"95","R_1EhVvcWmcTowGIS","jan 6_3",1,0,43,0,3,0,1,"2.3","3",12623,0
"96","R_1EiJ2TsBQKH71JW","dec 3_3",1,0,49,0,1,1,0,"4.5","3",11041,0
"97","R_1erxTDx7zqkJUlu","jan 7_1",1,0,63,0,1,1,1,"4.6","1",2604,0
"98","R_1erxTDx7zqkJUlu","jan 7_2",1,0,63,1,1,1,1,"4.6","2",7676,0
