"","ResponseId","Day","Article_Num","Category","Seven_Ordinal","Four_Ordinal","Age","Gender","FC_False","FC_True","FC_CND","Education_Score","Income_Score","Q_Ideology","Dig_Lit_Score","Ideology_Score","True_Dummy","Article_day","FC_Eval","Treatment"
"41","R_2COKghWcJFaG2QY","Day_1","2","Misl",3,2,56,0,0,5,0,4,4,"Conservative",42,2,0,"Day_1_2","True",0
"42","R_2CrKC2o8rkGy5sI","Day_1","4","True",6,4,50,1,4,1,0,5,2,"Slightly Liberal",64,-1,1,"Day_1_4","FM",0
"43","R_2dMFbNQkjManOjV","Day_1","2","Coul",3,2,32,1,0,5,0,4,2,"Liberal",64,-2,0,"Day_1_2","True",0
"44","R_2E0RrGQFeT7j4zk","Day_1","5","True",7,4,38,1,0,5,0,4,4,"Moderate: Middle of the road",66,0,1,"Day_1_5","True",0
"45","R_2PAnNpcbbNdhqR0","Day_1","3","True",4,3,32,1,3,0,2,4,3,"Moderate: Middle of the road",42,0,1,"Day_1_3","FM",0
"46","R_2pPQAmaWmPwb2LX","Day_1","2","True",7,4,35,1,0,5,0,4,2,"Moderate: Middle of the road",60,0,1,"Day_1_2","True",0
"47","R_2qq6C028YMrog23","Day_1","5","True",7,4,66,1,0,5,0,5,2,"Extremely Conservative",48,3,1,"Day_1_5","True",0
"48","R_2QxtMjA6QsrBSDr","Day_1","3","Misl",4,2,32,1,3,0,2,2,2,"Extremely Liberal",62,-3,0,"Day_1_3","FM",0
"49","R_2rpusZesPEFARAJ","Day_1","1","Misl",1,1,71,1,4,1,0,5,1,"Extremely Liberal",56,-3,0,"Day_1_1","FM",0
"50","R_2SHA4PAmYMekNQQ","Day_1","5","True",5,4,24,1,0,5,0,2,2,"Extremely Liberal",45,-3,1,"Day_1_5","True",0
"51","R_2sUe8vdpMzWQ6V4","Day_1","2","True",6,3,54,0,0,5,0,2,1,"Slightly Liberal",56,-1,1,"Day_1_2","True",0
"52","R_2tbvkcOyVhwDjb2","Day_1","1","Misl",2,1,40,1,4,1,0,4,2,"Slightly Liberal",53,-1,0,"Day_1_1","FM",0
"53","R_2uBYONSl8Gd3Itq","Day_1","2","True",6,4,37,1,0,5,0,5,4,"Conservative",66,2,1,"Day_1_2","True",0
"54","R_2uJJo3vn4MnFN3C","Day_1","1","Coul",5,3,50,0,4,1,0,5,4,"Conservative",59,2,0,"Day_1_1","FM",0
"55","R_2v3a8C3nHBKQnBy","Day_1","1","True",6,3,46,1,4,1,0,5,2,"Conservative",46,2,1,"Day_1_1","FM",0
"56","R_2xQnx0jBQoNdaFL","Day_1","3","True",5,3,50,1,3,0,2,4,2,"Slightly Conservative",65,1,1,"Day_1_3","FM",0
"57","R_2zl0F69loi1ZuKe","Day_1","5","True",5,3,62,0,0,5,0,4,1,"Conservative",52,2,1,"Day_1_5","True",0
"58","R_30dHp4iKLTWKLBu","Day_1","2","Misl",3,2,40,1,0,5,0,4,2,"Moderate: Middle of the road",60,0,0,"Day_1_2","True",0
"59","R_31BnlMya1nYwVu4","Day_1","3","Coul",3,2,43,1,3,0,2,2,2,"Liberal",65,-2,0,"Day_1_3","FM",0
"60","R_31YrTcs39YzlWEt","Day_1","4","Coul",4,2,55,0,4,1,0,3,2,"Slightly Conservative",47,1,0,"Day_1_4","FM",0
"61","R_3CEr4rP4b9ubH7V","Day_1","4","True",7,4,35,1,4,1,0,3,1,"Liberal",60,-2,1,"Day_1_4","FM",0
"62","R_3DbB1HXzP58EhQ3","Day_1","2","Coul",4,3,37,0,0,5,0,4,2,"Conservative",41,2,0,"Day_1_2","True",0
"63","R_3dH3EJY79W5aW1W","Day_1","3","Misl",2,2,56,0,3,0,2,3,2,"Moderate: Middle of the road",64,0,0,"Day_1_3","FM",0
"64","R_3dVS8YYhX51iWDb","Day_1","3","Misl",4,3,26,1,3,0,2,4,4,"Liberal",50,-2,0,"Day_1_3","FM",0
"65","R_3e3L1pS99R8qcCE","Day_1","5","True",7,4,67,0,0,5,0,4,2,"Liberal",58,-2,1,"Day_1_5","True",0
"66","R_3eHpYvbOUXaJABj","Day_1","4","Misl",1,1,30,0,4,1,0,4,3,"Liberal",59,-2,0,"Day_1_4","FM",0
"67","R_3EL9GaQ4jhW6VFE","Day_1","2","Misl",4,1,52,1,0,5,0,4,3,"Moderate: Middle of the road",62,0,0,"Day_1_2","True",0
