"","Article_day","True_Dummy","Likert_Evaluation","Age","Dig_Lit_Avg","Income_Score","CRT_Score","Familiar_Story","Education_Score","Duration","Ideology_Score","Gender","ResponseId","Treatment","Dummy_Ideology","Article_Lean","Dummy_Congruence","Susc_FN","Treat_Search"
"45","dec 10_1",0,1,32,4,2,3,"Yes",3,1065,-2,0,"R_2ciMrvTAVqvow4A",1,"Liberal","Conservative",0,0,1
"46","dec 10_1",1,5,30,3.2,0,3,"Yes",1,729,0,0,"R_29tc6sub7D8fzpk",1,"Moderate","Conservative",0,1,1
"47","dec 10_1",0,1,36,4.6,0,2,"No",1,950,-2,0,"R_3Nx4HxUUcqqwlq5",1,"Liberal","Conservative",0,0,1
"48","dec 10_1",0,4,32,4.8,1,3,"Yes",3,1472,0,0,"R_3nkMc0JWRefHE6b",1,"Moderate","Conservative",0,0,1
"49","dec 10_1",0,3,38,4,0,0,"No",2,483,0,1,"R_331H9nUgOouoMC6",1,"Moderate","Conservative",0,0,1
"50","dec 10_1",0,2,65,3.5,0,1,"No",1,1545,0,1,"R_3oYoBNHW3a3RRS5",1,"Moderate","Conservative",0,0,1
"51","dec 10_1",0,4,79,3.8,0,1,"Not Sure",2,1708,1,1,"R_erKMSrYwllkrMI1",1,"Conservative","Conservative",1,0,1
"52","dec 10_1",0,4,58,2.7,0,1,"No",2,2108,0,1,"R_1OJprNFjsdo43fw",1,"Moderate","Conservative",0,0,1
"54","dec 10_1",1,6,41,4.7,3,3,"No",4,1545,-2,0,"R_3I3nUJV1g6qJGRR",1,"Liberal","Conservative",0,1,1
"55","dec 10_1",1,6,40,3,1,3,"Yes",3,1611,-3,1,"R_11bgcg8eAUlYaZ2",1,"Liberal","Conservative",0,1,1
"56","dec 10_1",1,7,56,3.7,0,3,"Yes",1,1370,2,1,"R_3Jl13PriSS20Zlr",1,"Conservative","Conservative",1,1,1
"57","dec 10_1",0,2,28,3.8,0,3,"No",3,1439,2,1,"R_3qwLpeZQiz1Rma4",1,"Conservative","Conservative",1,0,1
"58","dec 10_1",1,7,57,4.6,1,1,"No",3,749,3,1,"R_7URXEBxjBqWsekx",1,"Conservative","Conservative",1,1,1
