"","T_Dummy","Ordinal_4","Ordinal_7","Treatment_1","Treatment_2","Treatment_3","Age","Ideo_Congruence","Education_Score","Q_Gender","Income_Score","Article_day","ResponseId","Article_Num","Final_FC"
"58",0,3,5,0,1,0,77,0,4,0,0,"Day1_1","R_2VmzvQBjq1HsZaH","1","True"
"59",0,2,4,1,0,0,76,0,3,0,1,"Day1_1","R_2E3FDnQDsDvjbmu","1","True"
"60",1,3,5,1,0,0,76,0,3,0,0,"Day1_1","R_1dsOSkQPUcxdUnx","1","True"
"61",1,3,5,0,1,0,49,0,0,0,1,"Day1_1","R_2qjweu1iC5vVXvw","1","True"
"62",0,2,4,0,1,0,79,0,3,1,1,"Day1_1","R_2v7Ha3BkGK3u3Es","1","True"
"63",0,3,5,0,0,1,65,0,2,1,0,"Day1_1","R_cIl1qjrVrAdkUI9","1","True"
"64",0,4,4,1,0,0,71,0,1,0,0,"Day1_1","R_3iqBCbRpThIC9fo","1","True"
"65",0,3,7,1,0,0,38,0,3,1,3,"Day1_1","R_2uNSz5NXSRKkZnC","1","True"
"66",1,4,7,0,0,0,36,0,2,0,1,"Day1_1","R_RwWbp9yhoDHPLW1","1","True"
"67",0,2,3,1,0,0,49,0,1,0,0,"Day1_1","R_3pmqoIzZUtNHGsr","1","True"
"68",1,3,5,0,0,0,42,0,0,1,0,"Day1_1","R_2A07x3EvZewZN2d","1","True"
"69",1,4,7,1,0,0,72,0,3,1,1,"Day1_1","R_Rkw4S63hB92KCQ1","1","True"
"70",0,3,5,0,0,1,40,0,2,0,0,"Day1_1","R_269IualEWi1NzuM","1","True"
"71",0,1,2,1,0,0,74,0,4,0,0,"Day1_1","R_abpIm5oNGp88EA9","1","True"
"72",0,1,1,1,0,0,34,0,2,1,0,"Day1_1","R_2frZNzwUURFpIyM","1","True"
"73",1,3,6,0,1,0,55,0,2,0,3,"Day1_1","R_3KMTZP73sJCUjGq","1","True"
"74",1,4,7,0,0,1,35,0,4,1,2,"Day1_1","R_6xODpDC1BQUPicF","1","True"
"75",0,1,1,0,1,0,73,0,2,0,3,"Day1_1","R_3J8Xab6waGw9eIG","1","True"
"76",1,3,5,0,0,0,76,0,2,0,0,"Day1_1","R_3snOdMmDzqFjyfO","1","True"
"77",0,2,3,0,0,0,74,0,2,0,2,"Day1_1","R_2cqgarJSLE4mM82","1","True"
"78",0,1,1,0,0,1,42,0,2,0,1,"Day1_1","R_ZHUeJJ90csjoO3f","1","True"
"79",0,3,4,0,1,0,29,0,1,0,0,"Day1_1","R_Y9y6fD4YacOeqGZ","1","True"
"80",0,2,5,1,0,0,36,0,3,1,2,"Day1_1","R_3G2grxxpD2nOuS9","1","True"
"81",0,2,3,0,1,0,47,0,3,0,2,"Day1_1","R_10GjHC4LxQaymnL","1","True"
"82",1,4,6,0,0,1,71,0,2,0,0,"Day1_1","R_YSL8EqlDnyJCz9D","1","True"
"83",0,1,1,0,0,0,34,0,1,1,1,"Day1_1","R_276WRalqWyZ5Mu5","1","True"
"84",0,3,4,0,1,0,76,0,1,1,0,"Day1_1","R_SDZtREm3uGTZNuN","1","True"
"85",0,1,5,0,1,0,46,0,1,1,1,"Day1_1","R_3FVbqFT3GTgEkVR","1","True"
"86",0,3,5,0,0,0,79,0,1,0,1,"Day1_1","R_Okg8SP7xNBW52Vj","1","True"
"87",1,4,7,0,0,1,33,0,4,1,3,"Day1_1","R_29493cXE7KYolPG","1","True"
"88",1,3,6,0,1,0,62,0,2,0,0,"Day1_1","R_RP6z1vBpzbyC7PX","1","True"
"89",1,3,5,1,0,0,59,0,2,1,0,"Day1_1","R_vuY4frRKtGpA8wN","1","True"
"90",0,1,2,1,0,0,53,0,1,0,0,"Day1_1","R_3ltu52MWtnKIj4w","1","True"
"91",0,1,3,0,0,0,35,0,2,0,0,"Day1_1","R_1QxTORZHBrV4cZi","1","True"
"92",0,3,4,1,0,0,76,0,2,1,1,"Day1_1","R_RRDjtSujGHXy7cZ","1","True"
"93",0,2,3,0,0,0,42,0,1,0,2,"Day1_1","R_2cpjmViLUk58Thg","1","True"
"94",1,3,5,1,0,0,75,0,1,0,0,"Day1_1","R_saNzTRujDDsipiN","1","True"
"95",1,3,4,1,0,0,72,0,1,0,0,"Day1_1","R_5j5gxq3NFZks8k9","1","True"
"96",0,2,2,1,0,0,58,0,2,1,1,"Day1_1","R_xgek2baD37hdSeZ","1","True"
"97",0,1,4,0,1,0,74,0,3,1,1,"Day1_1","R_O0wQdlqD7WTKzVD","1","True"
"98",1,4,6,0,0,1,52,0,1,0,0,"Day1_1","R_38gZSWeFy5pc9QR","1","True"
"99",0,4,6,1,0,0,36,0,4,0,2,"Day1_1","R_riO2dcvhlfWf7up","1","True"
"100",0,3,6,0,0,1,50,0,1,0,1,"Day1_1","R_3e1PQHRskdzOTiZ","1","True"
"101",0,3,5,0,1,0,54,0,1,0,0,"Day1_1","R_1Ia7juBvaY5UMIC","1","True"
"102",0,3,4,0,1,0,34,0,1,1,0,"Day1_1","R_3inejtrVLObbhhD","1","True"
"103",0,3,4,1,0,0,19,0,1,0,0,"Day1_1","R_3vIv1RVW18HvUnn","1","True"
"104",0,2,3,0,0,1,40,0,3,1,1,"Day1_1","R_3iwDCxCFOG0GfDt","1","True"
"105",0,3,5,1,0,0,61,0,2,0,1,"Day1_1","R_1iqvDSlGlkoFgnv","1","True"
"106",0,1,1,1,0,0,44,0,3,0,1,"Day1_1","R_2QEZCX88SBg0qt6","1","True"
"107",0,3,4,0,0,0,79,0,3,0,0,"Day1_1","R_vjDzPmToUvC6GY1","1","True"
"108",0,2,3,0,1,0,80,0,3,1,0,"Day1_1","R_2aCU1YLBHYuVHxJ","1","True"
"109",0,1,1,0,1,0,66,0,3,0,1,"Day1_1","R_30k4NnGdO5KSZu0","1","True"
"110",1,4,6,0,1,0,77,0,4,0,1,"Day1_1","R_117vLOiUxzuOXtO","1","True"
"111",0,3,4,0,0,1,79,0,1,0,1,"Day1_1","R_3Ma1QHmoXb79pq3","1","True"
"112",0,3,4,0,0,0,51,0,1,0,0,"Day1_1","R_2UYR7vnuwBsXZAL","1","True"
"113",0,3,2,0,0,0,74,0,3,0,2,"Day1_1","R_2SqWgZxIIrLs2gn","1","True"
"114",1,4,7,0,0,0,33,0,3,1,3,"Day1_1","R_vpEUXtq35C3iyul","1","True"
"115",1,4,6,0,0,0,74,0,1,0,1,"Day1_1","R_2zPhDcc9BHfC66A","1","True"
"116",0,3,4,0,0,1,69,0,2,0,0,"Day1_1","R_4GEAi78F3RCs7y9","1","True"
"117",0,2,6,1,0,0,33,0,1,1,1,"Day1_1","R_2t9hP1EHO49dRIn","1","True"
"118",1,4,7,0,0,0,71,0,2,1,0,"Day1_1","R_2VEWo7tEBoEiYvl","1","True"
"119",1,3,4,1,0,0,73,0,3,0,2,"Day1_1","R_2EcxSsXe5DUYJg2","1","True"
"120",0,2,3,0,0,0,59,0,2,0,1,"Day1_1","R_20NBwd7Ic4PKIE7","1","True"
"121",1,3,5,0,0,0,40,0,4,0,3,"Day1_1","R_2ZVanzKrYfwAQya","1","True"
"122",1,4,7,0,0,1,18,0,1,1,0,"Day1_1","R_2TYqsV5DXTWMX6h","1","True"
"123",0,2,3,0,0,1,73,0,4,0,2,"Day1_1","R_1LAa3M7P8jvpUxS","1","True"
"124",1,4,7,0,0,1,87,0,3,0,0,"Day1_1","R_3IYPGa7e7LWkOMJ","1","True"
