"","Coef","Low_Conf","Upp_Conf","Measure","Type_News","P_Value","Standard_Error","x"
"2",-0.0937,-0.3929,0.2055,"Ordinal (7)","Only Very Reliable News","0.535250924529249","0.273682523019952",0.8
"3",0.0303,-0.2271,0.2877,"Ordinal (4)","Only Very Reliable News","0.810748064139371","0.121054247064886",0.9
"4",-0.0139,-0.3138,0.286,"True (Dummy)","Only Very Reliable News","0.926476593191657","0.0726987547478755",1
"5",0.1498,-0.0085,0.3081,"Ordinal (7)","Some Unreliable News","0.0794370103151942","0.149030452794264",1.4
"6",0.2018,0.0343,0.3693,"Ordinal (4)","Some Unreliable News","0.0291401671467462","0.0834179282593876",1.5
"7",0.2879,0.1076,0.4681,"True (Dummy)","Some Unreliable News","0.00353461716776214","0.0425470119750999",1.6
